City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
303,Balykshi,KZ,75.2,clear sky,47.0667,51.8667,Гостиница Golden Rose
305,Mogadishu,SO,75.92,light rain,2.0371,45.3438,Hotel Juba
312,Khujand,TJ,76.28,overcast clouds,40.2853,69.6279,Firuz Hotel
313,Suchindram,IN,79.81,overcast clouds,8.15,77.4833,mariya rose mobile
314,Iquitos,PE,84.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
316,Palmer,US,76.55,broken clouds,42.1584,-72.3287,Wedgewood Motel
321,Sioux Lookout,CA,75.58,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
324,Manga,BF,76.32,few clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
332,Ozinki,RU,76.44,clear sky,51.1786,49.6769,Korolevskiy Dvor
333,Ojinaga,MX,83.35,clear sky,29.5667,-104.4167,Suites Las Palmas
336,Kudahuvadhoo,MV,82.22,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
337,Jinxiang,CN,78.8,overcast clouds,27.4327,120.6062,Wolong Village
339,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
349,Carutapera,BR,75.06,broken clouds,-1.195,-46.02,Lidera
354,Sterling,US,84.31,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
359,Pagudpud,PH,80.56,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
360,Singapore,SG,78.75,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
364,Phalodi,IN,82.92,overcast clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
366,Santiago,CL,80.04,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
370,Toma,BF,80.51,broken clouds,12.7667,-2.8833,Auberge de l'amitié
373,East Bethel,US,81.01,broken clouds,45.3194,-93.2025,Norquist Camp Ground
379,Kuching,MY,75.42,mist,1.55,110.3333,The Ranee Boutique Suites
385,Filadelfia,US,76.17,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
391,San Quintin,MX,78.31,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
392,Namuac,PH,81.34,overcast clouds,18.6109,121.1657,Mlin Hotel
393,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
394,Sola,VU,75.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
396,Pantai Remis,MY,77.36,overcast clouds,4.4557,100.6288,Leisure Homestay
399,Weinan,CN,82.09,overcast clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
400,Nabire,ID,75.56,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
401,Krasnoarmeysk,RU,75.15,scattered clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
402,Faanui,PF,77.76,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
403,Keti Bandar,PK,81.46,overcast clouds,24.1447,67.4497,Haji laloo memon house
408,Ta Khmau,KH,82.45,scattered clouds,11.4833,104.95,Tra Ny Ka Hotel & Restaurant
412,Valparaiso,CL,80.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
413,Shaki,AZ,79.59,broken clouds,41.0833,47.1667,Hotel Sheki Azpetrol
424,Bolobo,CD,79.02,broken clouds,-2.1667,16.2333,Hotel de Stephen
426,Whitehorse,CA,82.09,few clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
427,Jiazi,CN,81.7,overcast clouds,22.8779,116.067,Hotel Jin Hao
430,Vanimo,PG,78.04,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
432,Fergus Falls,US,79.47,clear sky,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
438,Titay,PH,75.13,overcast clouds,7.8125,122.5344,Lumbia Garden Resort
443,Shelton,US,76.55,overcast clouds,41.3165,-73.0932,Hilton Garden Inn Shelton
446,Ducheng,CN,79.3,overcast clouds,23.2373,111.5317,Xinyongguang Hotel
453,Shenjiamen,CN,79.41,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
454,San Javier,ES,77.22,broken clouds,37.8063,-0.8374,Hotel Mar Menor
456,Flin Flon,CA,84.04,smoke,54.7682,-101.865,Victoria Inn Flin Flon
465,Gazanjyk,TM,84.18,broken clouds,39.2446,55.5154,Railway motel
469,Gunjur,GM,78.87,broken clouds,13.2019,-16.7339,Kuba Lodge
470,Gewane,ET,81.39,light rain,10.1664,40.6453,
471,Kismayo,SO,75.29,scattered clouds,-0.3582,42.5454,Agan-Hotel
474,Namatanai,PG,80.94,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
478,Tumpat,MY,77.94,few clouds,6.1978,102.171,Baan Tanyong B&B
481,Buala,SB,78.62,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
482,Primorsk,UA,76.33,clear sky,46.7348,36.3443,Relax
483,Marzuq,YE,81.64,overcast clouds,14.4,46.4667,
485,Beberibe,BR,80.64,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
488,Srikakulam,IN,81.77,overcast clouds,18.3,83.9,Sriram residency
490,Porto Novo,BJ,78.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
493,Bull Savanna,JM,83.46,scattered clouds,17.8868,-77.5902,Big Red's
494,Auki,SB,80.33,overcast clouds,-8.7676,160.7034,Auki Motel
495,Terra Santa,BR,78.8,overcast clouds,-2.1042,-56.4869,Hotel Sarah
497,Nirasaki,JP,77.88,broken clouds,35.7,138.45,HOTEL LIBERTY
499,Umm Kaddadah,SD,82.35,few clouds,13.6017,26.6876,
500,Ladario,BR,80.89,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
502,Muroto,JP,77.04,broken clouds,33.2833,134.15,Oota Ryokan
